AED;3,672964;
AFN;69,06;
ALL;121,7571;
AMD;476,275;
ANG;1,788725;
AOA;165,8832;
ARS;13,94336;
AUD;1,33153;
AWG;1,793333;
AZN;1,53105;
BAM;1,732761;
BBD;2;
BDT;78,43487;
BGN;1,730785;
BHD;0,37711;
BIF;1685,127;
BMD;1;
BND;1,341038;
BOB;6,890514;
BRL;3,395012;
BSD;1;
BTC;0,001501454;
BTN;67,50266;
BWP;10,78831;
BYR;19764,72;
BZD;2,010289;
CAD;1,276312;
CDF;957,7933;
CHF;0,959805;
CLF;0,024598;
CLP;676,2854;
CNY;6,579181;
COP;2986,727;
CRC;544,6061;
CUC;1;
CUP;24,72838;
CVE;97,58002;
CZK;23,95622;
DJF;177,7954;
DKK;6,58248;
DOP;45,943;
DZD;109,8767;
EEK;13,8507;
EGP;8,876538;
ERN;14,9985;
ETB;21,77994;
EUR;0,885106;
FJD;2,067833;
FKP;0,680043;
GBP;0,680043;
GEL;2,22054;
GGP;0,680043;
GHS;3,937279;
GIP;0,680043;
GMD;42,83068;
GNF;7352,186;
GTQ;7,633444;
GYD;206,4493;
HKD;7,757947;
HNL;22,74129;
HRK;6,653401;
HTG;62,7501;
HUF;278,1719;
IDR;13273,8;
ILS;3,851768;
IMP;0,680043;
INR;67,50114;
IQD;1166,733;
IRR;30342,5;
ISK;122,5441;
JEP;0,680043;
JMD;125,6166;
JOD;0,708544;
JPY;104,5325;
KES;101,2196;
KGS;67,6;
KHR;4085,09;
KMF;433,2193;
KPW;900,09;
KRW;1152,645;
KWD;0,30103;
KYD;0,824635;
KZT;336,549;
LAK;8108,5;
LBP;1509,692;
LKR;146,8178;
LRD;90,50905;
LSL;14,70363;
LTL;3,028609;
LVL;0,621609;
LYD;1,362816;
MAD;9,684833;
MDL;19,7173;
MGA;3272,143;
MKD;54,53103;
MMK;1191,925;
MNT;1944,5;
MOP;7,99155;
MRO;356,41;
MTL;0,683738;
MUR;35,3013;
MVR;15,22333;
MWK;706,1471;
MXN;18,59278;
MYR;4,028053;
MZN;62,435;
NAD;14,70363;
NGN;204,4731;
NIO;28,55105;
NOK;8,279041;
NPR;107,9262;
NZD;1,393196;
OMR;0,384988;
PAB;1;
PEN;3,28842;
PGK;3,13105;
PHP;46,45769;
PKR;104,7157;
PLN;3,878924;
PYG;5630,125;
QAR;3,640567;
RON;4,007434;
RSD;109,567;
RUB;64,04078;
RWF;789,792;
SAR;3,75027;
SBD;7,806624;
SCR;13,32344;
SDG;6,085266;
SEK;8,263707;
SGD;1,339576;
SHP;0,680043;
SLL;3945,5;
SOS;581,0486;
SRD;7,0125;
STD;21680,78;
SVC;8,745251;
SYP;218,919;
SZL;14,70853;
THB;35,2021;
TJS;7,8685;
TMT;3,501433;
TND;2,160032;
TOP;2,233822;
TRY;2,899908;
TTD;6,648169;
TWD;32,16802;
TZS;2193,052;
UAH;24,89249;
UGX;3363,41;
USD;1;
UYU;30,60335;
UZS;2945,355;
VEF;9,971795;
VND;22319,63;
VUV;109,0483;
WST;2,518621;
XAF;582,1768;
XAG;0,0578135;
XAU;0,0007905;
XCD;2,70302;
XDR;0,705617;
XOF;582,8707;
XPD;0,001805;
XPF;105,6812;
XPT;0,001019;
YER;249,508;
ZAR;14,6992;
ZMK;5252,025;
ZMW;11,00411;
ZWL;322,3228;
